CardNum,StoreId,SuppId
9826300051568776016,123,PHILIPS
9826300051568800014,123,PHILIPS
9826300051568829013,123,PHILIPS
9826300051568836018,123,PHILIPS
9826300051568843014,123,PHILIPS
9826300051568845019,123,PHILIPS
9826300051568864010,123,PHILIPS
9826300051568868011,123,PHILIPS
9826300051568887011,123,PHILIPS
9826300051568890015,123,PHILIPS
9826300051568892011,123,PHILIPS
9826300051568906019,123,PHILIPS
9826300051568917016,123,PHILIPS
9826300051568930019,123,PHILIPS
9826300051568963010,123,PHILIPS
9826300051568965015,123,PHILIPS
9826300051568966013,123,PHILIPS
9826300051568969017,123,PHILIPS
9826300051568977010,123,PHILIPS
9826300051568997018,123,PHILIPS
9826300051568999014,123,PHILIPS
9826300051569040016,123,PHILIPS
9826300051569053019,123,PHILIPS
9826300051569074015,123,PHILIPS
9826300051569088015,123,PHILIPS
9826300051569090011,123,PHILIPS
9826300051569095010,123,PHILIPS
9826300051569109019,123,PHILIPS
9826300051569121014,123,PHILIPS
9826300051569125015,123,PHILIPS
9826300051569133019,123,PHILIPS
9826300051569137010,123,PHILIPS
9826300051569138018,123,PHILIPS
9826300051569140014,123,PHILIPS
9826300051569153017,123,PHILIPS
9826300051569158016,123,PHILIPS
9826300051569161010,123,PHILIPS
9826300051569163016,123,PHILIPS
9826300051569171019,123,PHILIPS
9826300051569179012,123,PHILIPS
9826300051569183014,123,PHILIPS
9826300051569219016,123,PHILIPS
9826300051569221012,123,PHILIPS
9826300051569222010,123,PHILIPS
9826300051569234015,123,PHILIPS
9826300051569238016,123,PHILIPS
9826300051569240012,123,PHILIPS
9826300051569245011,123,PHILIPS
9826300051569251019,123,PHILIPS
9826300051569260010,123,PHILIPS
9826300051569274011,123,PHILIPS
9826300051569296014,123,PHILIPS
9826300051569300014,123,PHILIPS
9826300051569302010,123,PHILIPS
9826300051569308017,123,PHILIPS
9826300051569320012,123,PHILIPS
9826300051569323016,123,PHILIPS
9826300051569330011,123,PHILIPS
9826300051569331019,123,PHILIPS
9826300051569339012,123,PHILIPS
9826300051569340010,123,PHILIPS
9826300051569341018,123,PHILIPS
9826300051569345019,123,PHILIPS
9826300051569348013,123,PHILIPS
9826300051569358012,123,PHILIPS
9826300051569382012,123,PHILIPS
9826300051569392011,123,PHILIPS
9826300051569418014,123,PHILIPS
9826300051569441016,123,PHILIPS
