"RCAWTQTX,19751229,TA10 0HG"
"PXAOXRVC,19751117,CM17 9EP"
"RNCPURVT,19571119,DY8 4XE"
"RVNBBROU,19580807,CR4 2DW"
"STUZVORB,19350429,B69 3EE"
"TPOOQWVY,19670910,B43 6AS"
"QOOAZCXA,19710126,SP10 3BJ"
"PVXXRUZB,19730109,SP10 3HH"
"PVYBWTNW,19390301,SP10 2PX"
"PVXXRUZB,19540807,SP10 2QR"
"SNWXCXNY,19821027,SP10 2HJ"
"SAPWUOPX,19480419,SP11 7RF"
"PXAAUXZZ,19460712,SP10 2SJ"
"QZCQSSXT,19631128,SP10 4NY"
"QSBOTOZN,19640319,SP10 2DT"
"RYOCPUTP,19520225,SP10 2HH"
"TTBQCZBS,19520710,SP10 2BJ"
"RQOWPQSC,19590618,SO32 1LY"
"QWNRTRUX,19700705,SP10 3NP"
"STRVXWNQ,19670713,SP10 3SY"
"TQPAQCQV,19531009,W3 9JW"
"QVUUSQUY,19680317,SG17 5SD"
"TPAPTNVX,19650826,W3 7QD"
"STYZQAUT,19571001,W3  0NU"
"TTNCUTTU,19610313,W3  6PP"
"RROOTYZU,19530226,UB2 4LW"
"QNNCOWQT,19550909,W3 0PZ"
"TRVOOAYC,19630618,OX15 5BA"
"PAUNXVBO,19720221,NW2 5JE"
"QOBTXVCY,19590325,W3 9RZ"
"QXBSXCRA,19620415,W4  3BB"
"QCRZPUCY,19000101,W3 6NT"
"QQWBOOXY,19550516,W4  1JT"
"QUBUTQAV,19680924,UB1 2LE"
"SRCQRVVV,19590713,GU14 0HJ"
"QSXVCSVT,19670915,W7 2DY"
"QTWWNRCT,19490417,W3 0HH"
"TRVWRSSX,19470909,W3  8DB"
"RORTYXOT,19750603,HA7 1FN"
"PVYSUYXQ,19750419,SW19 4LP"
"TUVYBVCT,19620207,W3 0DQ"
"SNWPUPQS,19651028,UB6 8XF"
"STQAXURC,19540212,W5 2RP"
"QNNCOWQT,19530228,W3 0PZ"
"QYAYCORQ,19560530,W3 7PB"
"QSBZNTQW,19720719,NW8 8DP"
"QUBBTBVP,19530701,W3  7JY"
"QOACSWNU,19491108,W3 6JL"
"QWBVQQVR,19480426,W5 2DN"
"TPCWSTVA,19511013,W3 6JA"
"TVQXXYAQ,19371030,N4 2JY"
"RTQOSAWA,19510629,EN2 7HB"
"PZQVVAQO,19581004,UB5 5AN"
"QPVVUCUV,19610110,NW10 7EN"
"QABVTAWN,19590101,SP10 2PX"
"SXZAPSRB,19650103,SP10 2BZ"
"RRONQWBW,19670927,SP11 6GG"
"RQOSTZXQ,19721027,LS15 4BP"
"QSORTNPV,19500202,SP10 1QF"
"RWWOCTBP,19790326,SP11 9JZ"
"QQWOQYNN,19791214,SP11 6TX"
"TOTTXNAT,19780226,ML3 6RY"
"ROCQOPCV,19750824,SP11 9HS"
"SQZVNXSP,19411018,SP10 2AY"
"SQZVNXSP,19701104,SP10 3WF"
"RNTTZTOO,19451011,SN8 3TD"
"PAWVNXVC,19460519,PE27 3HX"
"QTRZRSTQ,19430206,SP10 2JP"
"ROZNNNNX,19330509,SP10 2BL"
"SYRYOAUZ,19570430,SP11 9RE"
"SVYUWTXA,19450926,DL13 2QR"
"QTXRZCBZ,19630517,L39 3BE"
"PZBYYBQS,19771201,WN8 6DH"
"RSVQRQUR,19501227,L39 3NT"
"QABVTAWN,19701030,SW16 6TA"
"RVUXVWTC,19630615,W3 6JD"
"STYZQAUT,19600429,TW14 9LW"
"QZWCBNSX,19591017,W4 5XL"
"RZXBPTPQ,19510729,W5 4TL"
"TWQWPOBU,19660109,LU2 8LB"
"RZUNRVYR,19700111,W3 6HN"
"SWQTAWQQ,19720109,SP10 2EH"
"PZNZCQSU,19711230,SP10 2EY"
"STWWBQUZ,19690422,SP10 5QR"
"RQOWOXNA,19550724,SP10 2AL"
"QYQTBVNY,19581031,NR9 4AZ"
"ROZTBVAB,19660423,NR5 9NP"
"QUYNXCXX,19621216,PE37 7TH"
"SSVZBVQS,19581216,NR19 1RD"
"RUYZTTCX,19660123,NR8 6AS"
